merchant_description;mcc;city;country;amount;date
KVETINY RUDOLF HRBEK S.R.;5992;ROSICE U BRNA;CZ;39.27;2026-01-12
DESTINATION G SIVA HGR;4722;HURGHADA 2;EG;158.45;2026-02-11
LIME*PAS UYG2;7519;CZECH REPUBLI;CZ;190.0;2026-01-15
SUPERMERCATO IPERCONAD S;5411;MESTRE;IT;89.28;2026-03-14
AUTOCESTA A3 NOVSKA-SL;4784;SLAVONSKI BRO;HR;55.11;2026-01-09
STR�CK 3032 SPITTELAU;5812;WIEN;AT;42.96;2025-11-12
5PRKN1 ZENMARKET;4215;OSAKA;JP;107.97;2025-10-30
APPLE STORE R562;5732;ROME;IT;44.65;2025-11-10
ATTIKI ODOS SA;4784;GERAKAS;GR;195.33;2026-02-17
LOTTS  CO TERENURE;5411;DUBLIN;IE;155.01;2025-11-17
TOTH CUKRASZDA;5441;DUNAFOLDVAR;HU;137.91;2025-11-02
ETSY.COM - JOYFULFINDSFOR;5699;DUBLIN;IE;14.69;2025-11-18
LYFJAVAL HAEDASMARA;5912;KOPAVOGI;IS;167.4;2025-12-05
TRAWIS SP. Z O.O.;5200;KAMIENNA GORA;PL;35.17;2026-01-17
KRUIDVAT 7503;5331;ROTTERDAM;NL;162.01;2025-12-01
SKYSHOWTIME 41F9A SHOW;4899;AMSTERDAM;NL;50.68;2026-03-23
MONO*NADIIA MIROSHNYCHENK;4829;KYIV;UA;165.29;2025-10-13
LIDL 699 VEENENDAAL;5411;VEENENDAAL;NL;193.51;2025-12-23
LIME*4 COURSES PLWO;4789;WWW.LI.ME;US;90.08;2025-10-16
DINEPLAN THETABLEATDEM;5812;CAPE TOWN;ZA;158.46;2026-03-08
BNG*PARKEERGARAGE KEIZ;7523;NIJMEGEN;NL;51.64;2025-11-23
WAL-MART #1925;5411;NEWPORT;US;34.48;2025-11-08
X1895 ENTS;5815;DUBLIN 4;IE;88.31;2025-10-09
APPLE STORE  #R115;5732;MIAMI BEACH;US;16.98;2025-10-08
ESSELUNGA SOLARO;5411;SOLARO;IT;128.1;2026-02-02
GOOGLE *VLMEDIA;5818;G.CO/HELPPAY#;US;183.83;2025-10-19
NYX*KIDSGROVESPORTSCENTR;5814;ABERYSTWYTH;GB;184.97;2025-12-29
TOOGOODT HCWZDE5YZWZP0;5812;TOOGOODTOGO.E;DK;174.11;2025-10-05
ASIAN GARDEN SECRET;5251;MADRID;ES;146.47;2025-12-13
MCD-00085CHAWENG BEACH;5814;SURATTHANI;TH;146.4;2025-09-29
LIVE PAYMENTS;4121;BARANGAROO;AU;186.18;2025-11-18
SEBESTYE'N E'LELMISZER;5411;KOVESKAL;HU;174.29;2026-03-14
TASKAS;5948;BUDAPEST;HU;23.69;2025-12-01
SQ *BARNABY TCR;5499;LONDON;GB;129.34;2025-12-16
HYPEDROP;7994;6590277;CY;196.39;2025-11-09
APOTHEEK VANHEE;5912;KOEKELARE;BE;126.61;2026-01-22
PARIS 160;5993;BARCELONA;ES;96.01;2025-12-20
MOONPAY*LEDGER 8046;6051;DUBILN;IE;50.4;2026-03-10
ABAQ ZAMAN RESTAURANT;5812;MADABA ST;JO;5.73;2025-10-15
GOPAY  *JATEKRAJ.HU;5945;HTTPS://JATEK;SK;63.2;2025-11-05
OBICA' CASTEL ROMANO;5812;CASTEL SAN PI;IT;165.86;2025-12-16
TV NOVA 5617359151;4899;PRAHA 5;CZ;67.46;2026-01-22
KEREKPAR BOLT;5251;BEKESCSABA;HU;131.01;2026-02-21
AFRIM MARTINAJ B I- QE;5462;PRISHTINA;XK;96.27;2025-12-12
BANDCAMPSAMPL;5815;BANDCAMP.CO;US;93.27;2026-02-14
TCHIBO 7732;5311;PARDUBICE;CZ;12.41;2025-10-04
TOTONIC GMBH - WWW.PI-;5732;ZÜRICH;CH;67.57;2026-02-06
ZASILKOVNA S.R.O. 405;4215;VYSKOV;CZ;82.46;2026-01-11
DONQUIJOTE GINZAHONKAN;5310;03-6215-9688;JP;158.38;2026-01-13
BREUER & SPITZER;5411;LONDON  N16;GB;71.62;2025-11-04
SQ *MINCKA;5814;HAYWARDS HEAT;GB;100.62;2025-10-31
ADOBE ACROPRO TRIAL;5734;ADOBE.LY/DEDE;IE;189.79;2025-10-30
CHLSTCK* 53B5FEBB-030B;5815;TALLINN;EE;74.38;2025-11-21
BC987 BOOST;4899;DUBLIN 4;IE;196.24;2026-03-12
PAYPAL *SPOTIFY*P3DFD4;5815;35314369001;SE;18.43;2025-10-05
BVG;4111;BERLIN;DE;163.75;2025-11-29
LES COLONNES;5812;BIARRITZ;FR;109.58;2026-02-03
UBER   *BAINIUXIANS;5812;NEW TAIPEI;TW;153.14;2025-10-27
LIME*FAHRT YWCR;4789;WIEN;AT;72.25;2026-01-28
BET365;7995;GIB;GI;105.7;2026-02-01
SHOKO;5813;BARCELONA;ES;91.38;2025-11-14
ALBERT HEIJN 1152;5411;WIJK BIJ DUUR;NL;138.12;2026-02-19
INDEED IEI25-01761164;7361;DUBLIN;IE;185.89;2025-12-25
TFL TRAVEL CHARGE;4111;TFL.GOV.UK/CP;GB;125.35;2026-01-03
SKYSHOWTIME 6FAE3 STANDAR;4899;AMSTERDAM;NL;119.17;2025-11-23
CAFE FABER B.V.;7999;NIJMEGEN;NL;150.74;2025-12-05
MOTES   IDEIAS LDA;7999;LISBOA;PT;71.29;2025-10-31
GOPAY  *GOLETO.CZ;5399;PLZEN;CZ;95.51;2025-11-01
GLOVO 06MAR THHTL7LM;5814;GLOVOAPP.COM;ES;192.9;2026-02-03
GOPAY  *EREBOSDRINK.CZ;5499;FRYDEK-MISTEK;CZ;158.24;2026-02-12
TV NOVA 1084285301;4899;PRAHA 5;CZ;189.79;2026-01-03
TCL#CUMUL;4111;V23349018194#;FR;97.82;2025-10-05
GLOBAL PARKS POLAND SP;7999;Z WRECZA;PL;111.43;2025-11-04
DE833132458;4829;VILNIUS;LT;38.14;2025-09-26
MERCHANTS ARCH BAR;5813;DUBLIN;IE;36.64;2026-02-16
MICROSOFT-G118411450;5045;MSBILL.INFO;CH;70.84;2025-12-28
MB6CEE5YPUP5#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR;72.9;2025-11-18
LE BEAU MARCHE;5812;BOURG EN BRES;FR;33.12;2026-01-22
BOLT.EUD2505060921;5812;TALLINN;EE;151.5;2025-10-07
TV NOVA 7160990287;4899;PRAHA 5;CZ;197.53;2026-03-12
WILLHABEN 1404670293;5331;VIENNA;AT;61.07;2025-10-21
SPARKASSE TRIER;6011;SUED_2;DE;149.63;2025-12-26
SELECTA MERCHANT VENDI;5499;KIRCHBERG;CH;107.55;2026-01-16
LIME*3 RIDES PYSV;4789;WIEN;AT;181.18;2025-12-19
GOPAY  *RESTORIO.SK;5942;HTTPS://RESTO;CZ;185.75;2026-03-11
ALPETTA;4789;SILVAPLANA;CH;19.35;2025-11-06
ETSY.COM*MADEWOODART;5699;DUBLIN 1;IE;23.67;2025-12-25
HOTEL A LOFT TBS MBL;7011;JAKARTA SELAT;ID;175.84;2026-03-10
CVS/PHARMACY #01064 00000;5912;PHILADELPHIA;US;126.54;2026-01-15
VINNIE'S RESTAURANT;5812;ST PAUL'S B;MT;18.84;2026-01-30
ASPIT PADOVA OVEST   -;4784;BRESCIA OVEST;IT;182.6;2025-11-03
LIME*CORSA MJIY;4789;MILAN;IT;62.63;2025-10-03
ACS*20249461 THREE;4814;ROTTERDAM;NL;148.28;2025-12-01
BAUHAUS 631;5211;STUTTGART;DE;37.29;2026-03-12
FOODORA_AT_QX5A-2503-T;5499;WIEN;AT;103.86;2025-12-24
ENTERAIR ON BOARD SALES;4511;WARSZAWA;PL;72.72;2025-11-17
PLATNOSC TAXI;4121;WARSZAWA;PL;67.34;2025-10-20
LIQPAY*FLOWERS.UA;5992;ALEKSANDRIYA;UA;152.6;2025-10-16
BANDCAMPDEEPHOUSE;5815;BANDCAMPCOM;US;93.16;2026-03-09
NEXTORY BE9D0CC1-;5815;BARCELONA ESP;ES;60.25;2026-02-24
40135 FANO - ALBANI;5541;FANO;IT;120.42;2026-03-14
NORTON *NP297912651;5817;PRAGUE 4;CZ;126.42;2025-11-24
GLOBUS(KANT);5411;KANT;KG;57.48;2026-03-09
MPY;7298;BUCURESTI;RO;104.53;2026-01-10
EUROSPIN EKO CERKNICA;5310;CERKNICA;SI;142.12;2025-11-29
BOLT.EUD2511201647;5812;TALLINN;EE;12.15;2025-10-16
0U3ZYTZSLKIK;4111;VANNES;FR;133.66;2025-12-14
FOODORA_AT_QUOW-2516-8;5499;WIEN;AT;142.75;2025-10-23
FACEBK*JESJRVKCQ2;7311;FB.ME/ADS;IE;25.9;2026-01-22
IKEA SSDLR FOOD;5812;S.SEBASTIAN D;ES;190.27;2025-10-18
L MERLIN PORTIMAO;5719;PORTIMAO;PT;22.83;2026-01-23
FEDEX81824384;4215;T08456 070809;GB;193.1;2026-01-29
LIME*RIDE GAVA;4789;LISBOA;PT;148.51;2026-03-21
MD MICHEL;5691;P FALIRO;GR;61.08;2025-12-20
AMAZON UK* Z54SH98S4;5399;LONDON;GB;144.3;2025-10-21
MONO*OLEKSII SLOBODIAN;4829;KYIV;UA;58.11;2025-10-23
ADAGIO RESTAURANT;5812;OSTRAVA - MOR;CZ;118.27;2026-01-31
TRAVEL VALUE&DUTY FREE;5309;VILNIUS;LT;55.03;2025-11-18
WOW C4685 CINEMA M;4899;UNTERFOEHRING;DE;113.36;2025-11-05
SQSP* DOMAIN#198276785;7372;NEW YORK;US;145.56;2026-02-08
OYSHO GALERIA KRAKOWSK;5691;KRAKOW;PL;158.6;2026-01-02
BOLT.EUD2512181639;5812;TALLINN;EE;86.41;2026-01-28
HOTEL BARDO RESTAURACJA;5812;BARDO;PL;196.2;2025-12-16
JAN PALFY KVETINARSTVO;5992;BRATISLAVA;SK;131.82;2025-10-30
NYA*NHS GG&C;5499;ABERYSTWYTH;GB;162.75;2026-01-21
15 - VALTICE;5813;OSTRAVA;CZ;143.87;2025-11-13
ACS*21631242 THREE;4814;ROTTERDAM;NL;171.19;2026-01-11
BANDCAMP IN DUST WE TRU;5735;BANDCAMPCOM;US;166.21;2025-10-20
SUSHI SAMBA;5812;LONDON;GB;43.22;2025-10-27
GOPAY  *DARCEKOVEVINO.SK;5921;HTTPS://DARCE;SK;195.47;2025-11-02
O17582693915742576 APP BR;9311;TORINO;IT;127.29;2026-01-02
FOODORA_AT_MT9Z-2517-A;5499;WIEN;AT;76.75;2025-12-31
SKY.DE/KONTO 56271770;4899;UNTERFOEHRING;DE;148.84;2025-12-15
FOODORA_AT_FSV4-JNQS;5499;WIEN;AT;14.93;2025-10-01
KAUFLAND 2910;5411;PRAHA 3;CZ;186.79;2025-11-28
NYX*COCACOLAHBCMAGYARO;5814;BEKESCSABA;HU;76.37;2026-01-22
BODEGA JOAN;5812;BARCELONA;ES;130.08;2026-01-01
PV1649;5541;VARESE;IT;87.14;2025-10-25
AUSTRIAN##HASH##;3051;AUSTRIA;AT;196.13;2026-01-18
NOW 5EA67 GB ULTRA;5815;LONDON;GB;98.28;2025-12-11
ORDER O-Y48UEJO;5816;VILNIUS;LT;76.57;2025-10-05
O17567396424147006 APP BR;9311;TORINO;IT;188.19;2026-03-05
ACS*27371 ORTEL;4814;PLEASEHELP.IO;NL;92.31;2025-10-08
JUMBO 248919;5411;KAATSHEUVEL;NL;76.93;2025-12-04
AQUA HELIA KFT.;7011;RACKEVE;HU;97.07;2026-01-12
WILLHABEN 1787623193;5331;VIENNA;AT;53.87;2025-12-12
PAYPAL *STEAM GAMES;5816;35314369001;DE;79.77;2026-01-03
SUMUP  *KIKILUCKY UG;5812;FRANKFURT AM;DE;70.35;2025-11-07
SKYSHOWTIME CF8B8 STANDAR;4899;AMSTERDAM;NL;26.36;2025-12-23
SKYSHOWTIME E8017 SHOW;4899;AMSTERDAM;NL;115.14;2026-03-14
SHELL 7522;5541;BOCHUM;DE;119.2;2026-02-28
GRAB* A-5CWN4ENWWGVH;5812;SOUTH JAKARTA;ID;97.57;2026-01-23
PHARMACIE PRINCIPALE *304;5912;CHAVANNES-DE-;CH;58.2;2025-12-26
AMAZON UK* ZE3HO3TN4;5399;LONDON;GB;15.84;2025-11-15
BAYA;6011;KRABI;TH;62.48;2026-02-17
PAYPAL *WOW X1123 CINE;4899;35314369001;DE;147.38;2026-02-25
VOI IT;4789;MILANO;IT;187.66;2025-09-26
REINA BIJOU SRL;5944;FOCSANI;RO;186.48;2025-10-20
TODAY S;5499;THESSALONIKH;GR;168.39;2025-11-25
FOODORA_AT_PD9V-YP99;5499;WIEN;AT;91.35;2026-01-28
JUSTGIVING GILLIANFENN;8398;LONDON;GB;159.41;2025-12-24
HOTEL WEISSES KREUZ;7011;SCHWARZENBER;CH;101.9;2026-01-16
LOROORO.COM;5948;PRAHA;CZ;132.15;2026-02-06
DELIJN##HASH##;4111;DL LA5OK5X9;BE;186.97;2026-02-13
ORLEN STACJA NR 1006;5541;CHALUPKI;PL;104.03;2025-10-30
O17395462590900871 APP BR;9311;TORINO;IT;119.95;2025-11-05
LIME*PASS TKTP;4789;PARIS;FR;148.6;2026-02-24
TRADEIT.GG - AM70;7993;TRADEIT.GG;US;42.23;2026-02-21
CONNEXXION PERSONENVER;4111;R HILVERSUM;NL;93.84;2025-12-01
GRMM16245752;5651;MILAN;IT;147.87;2025-12-21
METAPAY*8ZK8T44S72;7311;FB.ME/ADS;IE;36.01;2025-12-13
SKYSHOWTIME DF8E0 STANDAR;4899;AMSTERDAM;NL;69.99;2026-01-01
GOPAY $CESKEPOJISTENI.CZ;6300;HTTPS://INSUR;CZ;117.6;2026-02-01
PAYPAL *MMOGA LTD;7994;35314369001;DE;86.62;2025-10-18
MPY*APAVOL, ORDER 4584;4900;4 0215277725;RO;21.94;2025-09-26
WOW FD1EF PREMIUM;5815;UNTERFOEHRING;DE;76.21;2026-02-20
FOODORA_AT_Q7A0-59IE;5499;WIEN;AT;12.22;2026-01-17
32RED;7995;2606921488;GB;35.98;2026-03-07
ZASILKOVNA S.R.O.1314;4215;DVUR KR. N/L;CZ;68.68;2026-02-13
CCV*BADERS SLAGERIJEN B.V;5499;MYDRECHT;NL;87.27;2026-01-14
1487.4997.2285 AIB_ECO;7995;VALETTA;MT;41.86;2026-01-14
BOLT.EU/O/2509090953;4121;TALLINN;EE;117.25;2026-02-03
HUGO BOSS;5691;LELYSTAD;NL;139.96;2025-09-27
VILLE DU HAVRE;9405;LE HAVRE;FR;83.53;2026-02-13
COCA-COLA HBC AUSTRIA;5499;WIEN;AT;164.71;2026-02-14
CVS/PHARMACY #02065;5912;WAKEFIELD;US;81.64;2025-11-08
WOW C6103 CINEMA M;4899;UNTERFOEHRING;DE;42.82;2026-01-08
SKYSHOWTIME DD76E SHTANDA;4899;AMSTERDAM;NL;39.07;2026-02-05
NEW BIMC PARKING;7523;SAO PAULO;BR;160.32;2026-03-01
VILLE DE LYON;9405;LYON CEDEX 01;FR;146.55;2025-12-21
LIDL SAGT DANKE;5411;BARLEBEN;DE;170.99;2025-11-30
LIME*RIDE OJXA;4789;WARSZAWA;PL;164.18;2025-12-01
ACS*22074498 THREE;4814;PLEASEHELP.IO;NL;94.74;2026-03-09
KLARNA*HEMTEX.SE;5200;STOCKHOLM;SE;83.47;2025-12-09
WOTC-ESW-EU;5139;LYON;FR;158.07;2025-12-30
ALDI SAGT DANKE;5411;PADERBORN;DE;199.14;2025-10-30
PAYPAL *WOW 51B71 PREMIUM;4899;35314369001;DE;174.76;2026-02-01
P R FIL BLEU;4111;TOURS;FR;139.48;2025-10-19
OSLAVANSKA;6011;IVANCICE;CZ;174.73;2026-03-23
MEGLEPETESSHOP.HU;5999;36204015628;HU;6.81;2026-01-31
MEGA INKA AFOI TEPEZAK;5411;CHANIA - PLAT;GR;139.33;2026-01-05
FOODORA_AT_XE1O-2523-APU4;5499;WIEN;AT;82.44;2025-12-12
KAUFLAND RO 8000;5411;FALTICENI;RO;54.47;2025-11-01
LIME*COST CURSA YSBU;4789;WIEN;AT;79.28;2026-01-06
RAVENSBURGER FREIZEIT UND;7991;MECKENBEUREN;NL;60.43;2025-10-27
POCAKOS LAKATOS E'TKEZ;5812;BUDAPEST;HU;39.4;2026-03-24
RAILNINJA-1458;4722;BIRKIRKARA;MT;14.28;2026-02-23
CHEVRON 0206288;5542;BATTLE GROUND;US;56.49;2025-10-25
LIDL DIENSTLEISTUNG;5411;HEMMOOR;DE;84.62;2026-01-22
PLUXEE*LA MAISON BOURBANE;5812;VAUJOURS;FR;185.48;2026-03-22
SP SISTERLY;5499;DUBLIN 4;IE;18.72;2026-01-28
ADRIA GOLD, S.R.O.;5422;NIVNICE;CZ;99.35;2025-12-24
QSMALL;5311;TOKYO;JP;9.74;2025-10-13
NYX*ARABICAECHOCOLAT;5814;PONTDELISERE;FR;186.28;2026-03-09
WWW.AMAZON.* UR5YK6L75;5399;LUXEMBOURG;LU;86.88;2026-01-13
AMAZON UK* 8K36H59I5;5399;LONDON;GB;45.54;2026-01-23
FOODORA_AT_ZUD3-2432-GD7R;5499;WIEN;AT;5.09;2026-03-19
G20 CLOYS;1750;PARIS;FR;172.5;2026-03-05
FOODORA_CZ_SUB-2TIKU3R16H;5499;PRAGUE 8;CZ;112.93;2026-02-24
BANISTMO, S.A.;6011;TOCUMEN;PA;162.61;2026-01-19
GOPAY  *NAVLAS.CZ;5977;NAVLAS.CZ;CZ;71.9;2025-12-09
AVM BBSQ4YJUMT9NZ8R;4111;VENEZIA;IT;98.82;2025-11-15
LIME*PRZEJAZD 3IH4;4789;WARSZAWA;PL;146.29;2025-10-25
SIMPLEP*BACI-LINGERIE.;5621;BUDAPEST;HU;32.55;2026-03-01
FOCI KISVENDE'GLO\;5814;VAC;HU;117.16;2025-10-11
BKG*HOTELF1 LYON BOURG;4722;AMSTERDAM;NL;146.67;2026-03-05
NOW 1523D SKY CINE;5815;LONDON;GB;127.98;2025-10-03
AMAZON UK* YK4Y12LN5;5399;LONDON;GB;135.78;2025-11-22
FOODORA_AT_P24X-2518-E;5499;WIEN;AT;57.57;2026-02-09
PAYPAL *AFEW GMBH;5661;21122960866;DE;136.04;2026-03-05
KAUFLAND FREIBURG 4253;5411;FREIBURG;DE;90.8;2025-11-25
DB FERNVERKEHR AG;5812;FRANKFURT;DE;182.47;2025-10-20
PENNY;5411;GRAZ;AT;170.88;2025-10-29
GUMROAD* FIKULEC;5192;SAN FRANCISCO;US;120.44;2025-12-03
SQSP* WORKSP#209753917;7372;SQUARESPACE.C;US;187.09;2026-01-05
TV NOVA 4857892670;4899;PRAHA 5;CZ;13.43;2025-12-27
GOPAY  *PRINTER-NET.CZ;7338;PRINTER-NET.C;CZ;67.91;2025-10-11
TCL 69 LYO;4111;V25061021155Ù;FR;29.92;2026-03-08
ZYG97WBWG7PN;4111;ST BARTHELEMY;FR;164.83;2026-01-18
AMAZON UK* PL2JR7VQ5;5399;LONDON;GB;187.0;2025-11-13
HOTEL NUOVA ORCHIDEA;7011;DRESANO;IT;197.13;2026-01-24
NYX*PETRLAUBE;5499;PRAGUE;CZ;67.96;2025-12-30
HOTEL LETOS;7011;NAVODARI;RO;11.53;2025-10-02
SUMUP *SUMUP PAYMENTS;4121;LONDON;GB;104.88;2026-02-23
SANT' EUSTACHIO IL CAFFE;5813;ROMA RM;IT;54.48;2025-11-12
MCDONALDS 8261589;5814;GUILDFORD;GB;42.2;2025-12-08
FOODORA_AT_THTN-1LAT;5499;WIEN;AT;112.68;2025-11-09
TV NOVA 4876925928;4899;PRAHA 5;CZ;111.69;2025-10-07
KAWIARNIA ICE CAFE;5813;TARNOW;PL;110.48;2026-01-04
ELELMISZERBOLT;5499;NAGOCS;HU;5.26;2025-10-19
BURGER KING 14204 SOT;5814;BERLIN;DE;188.89;2025-11-20
PEPSI GRILL;5812;BALATONALM AD;HU;122.22;2025-10-01
TOOGOODT P420RYST02BM0;5812;COPENHAGEN;DK;110.6;2026-03-06
TV NOVA 0665603677;4899;PRAHA 5;CZ;95.06;2025-12-05
O17618120740930611 APP BR;9311;TORINO;IT;9.95;2026-01-11
ETSY.COM*WALLSTICKERSDESI;5399;LONDON;GB;198.49;2026-02-12
AMPOL KENSINGTO 22316F;5541;KENSINGTON;AU;199.05;2025-11-13
TXW*LONDON TAXI 81356;4121;GLASGOW;GB;49.87;2025-10-10
CRV*4HOME.SK BRATISLAVA S;5311;CURVE.COM;IE;169.89;2025-09-26
FOODORA_AT_IHJL-2JQ1;5499;WIEN;AT;100.25;2025-11-03
PRINTFUL 139610359;5734;CHARLOTTE;US;154.05;2025-09-26
SUPERDRUG STORES PLC;5912;HOUNSLOW;GB;158.0;2026-01-02
IVISA.COM +15102885920;8999;DUBLIN;IE;109.61;2025-12-17
LIME*FAHRT WLGD;4789;WALLISELLEN;CH;74.0;2026-01-05
GOPAY  *ROHNSONSHOP.CZ;5722;HTTPS://ROHNS;CZ;7.9;2026-02-09
NYX*DIGGIGMBH;5499;WINDHAGEN;DE;13.19;2025-11-02
DPP - FLORENC;4111;PRAHA 8;CZ;128.16;2026-01-13
PPL STD HOTEL DE MONTC;7011;SABRAN;FR;86.65;2026-02-15
FOODORA_AT_TOQR-2541-S;5499;WIEN;AT;23.61;2025-12-22
FOODORA_AT_CLZF-2528-A;5499;WIEN;AT;143.19;2025-11-18
MOONPAY*TRUSTWALLETW 9044;6051;MOONPAY.COM;IE;193.79;2025-12-23
AVANTI VILLAGE;7011;PAPHOS;CY;72.71;2025-10-14
OTP;4814;TATA;HU;35.34;2025-12-08
PAYPAL * AIRBNB HMR5WTCAP;7011;35314369001;LU;42.39;2026-03-23
ALARGA;5813;YMITTOS;GR;116.53;2025-12-23
634 - FM AER BCN T2 AIRE;5814;AEROPORT DEL;ES;137.95;2025-12-13
DPB.SK  *9BZXUO;4111;BRATISLAVA;SK;167.66;2026-02-09
BOLT.EUD2510250950;5812;TALLINN;EE;66.59;2025-11-25
LE MESTURET;5812;PARIS;FR;57.64;2025-11-23
HAUENSTEIN AG;5261;RAFZ;CH;194.63;2025-11-11
PAYPAL *AIRBNB HMEW8QXNQ;7011;4029357733;LU;37.85;2025-11-06
PLATANISTA;5411;KOS;GR;45.37;2025-12-20
MEDIAMISTER;7311;RASALKHAIMAH;AE;164.88;2025-11-28
MOONPAY*PHANTOM 5648;6051;MOONPAY.COM;IE;12.2;2025-10-13
NEURONAU* TEMPHOLD-4WL;4789;HAWTHORN;AU;36.23;2025-11-14
GALAMBOS KFT-PINGVIN;5812;KOMAROM;HU;179.55;2026-01-10
ACS*20287139 THREE;4814;ROTTERDAM;NL;14.81;2025-11-01
DROGARIA CRISTAL;5912;RIO DE JANEIR;BR;153.82;2025-12-28
LAWSON;5499;TOKYO;JP;187.64;2025-12-13
MAO DUMPLING BAR;5812;PARIS;FR;44.46;2026-01-31
FLOVIPAL;5411;SOMCUTA MAR;RO;124.43;2026-02-23
B&M 645 - GOLDINGTON;5399;GOLDINGTON;GB;70.39;2025-10-27
ETSY.COM*DOGBOYZZ;5699;DUBLIN 1;IE;170.7;2026-01-12
MYTRIP_UK_MMI3II;4722;ONLINE;GB;198.5;2025-11-27
LIME*AUTH. RPSH;4789;41445051724;CH;181.15;2026-02-20
LM LLISSA DE MUNT;5200;LLICA D AMUNT;ES;172.85;2025-12-10
BOOTS,1000;5912;LONDON;GB;123.82;2025-12-20
BATA A S;5661;CESKY KRUMLOV;CZ;19.89;2026-01-12
THATS LIFE;5813;MARBELLA;ES;122.45;2025-10-26
TOOGOODT 749H8FKJH9SM0;5812;TOOGOODTOGO.D;DK;88.51;2025-10-04
WOW 381D2 ENTERTAI;5815;UNTERFOEHRING;DE;178.13;2026-03-04
ERNSTING'S FAMILY 0000;5651;BRUNSBUTTEL;DE;59.7;2026-02-04
RESTAURANT TOT;5812;ZÜRICH;CH;130.02;2026-01-01
TOMTOM 417250296 LIVE;5531;AMSTERDAM;NL;117.76;2026-03-06
RESTAURANT ADRETISSIMO;5812;GRAND-LANCY;CH;77.35;2026-01-27
FCIA GEMMA HERNANDEZ;5912;BARCELONA;ES;32.34;2025-11-02
ENEOS-SS;5542;TOKYO;JP;25.92;2025-12-16
UKVI;9399;8FF2C677-29AB;GB;87.98;2025-11-06
CANVA PAAAAGSUKSYIUWI;7333;17372853388;US;82.16;2026-03-01
WWW.VESPATAKEAW* VESPA;5499;DUBLIN;IE;193.85;2025-09-30
DR. MAX;5912;DOMAZLICE;CZ;50.58;2025-11-05
CBA*CYBERGHOST;5817;KOLN;DE;136.43;2025-10-16
LIME*VIAJE OWSH;7519;CZECH REPUBLI;CZ;110.37;2025-11-17
LIME*PAIEMENT ZXDQ;4789;PARIS;FR;156.57;2026-01-01
BUZZSPROUT* INVOICE 72;7372;19047014405;US;126.47;2026-03-10
COOP-1838 UNIVERSITAT IET;5311;ZURICH;CH;39.26;2025-10-11
SIXT 1015082319;3355;PULLACH;DE;125.52;2025-12-07
HOLLAND & BARRETT;5331;'S-GRAVENHAGE;NL;101.19;2026-01-09
47TH PARALLEL SRL (NR.;5499;. CHISINAU;MD;9.21;2026-01-10
TV NOVA 2238983399;4899;PRAHA 5;CZ;156.86;2025-10-15
TV NOVA 4588099511;4899;PRAHA 5;CZ;75.6;2025-11-25
AMZNMKTPLACE*J302L7EB5;5999;AMAZON.CO.UK;GB;155.83;2025-11-20
COURSRA59M55SVZCDVTHZ;8299;6509639884;US;31.18;2025-11-20
HEMA EV0397;5311;ROTTERDAM;NL;63.29;2026-01-25
PROTV 8675357793;4899;BUCHAREST;RO;31.6;2025-10-06
RAPPI PRIME;4215;BOGOTA;CO;199.94;2026-01-13
SZEPITOGEPEK;8099;BUDAPEST;HU;105.86;2026-02-04
NYX*HJJOUDSENBV;5499;APELDOORN;NL;64.39;2026-01-19
UBER   *VONS1702GAR;5812;SAN FRANCISCO;US;192.11;2026-01-22
AU PAIN DE FRED;5462;CAP D  AIL;FR;42.96;2026-01-21
FAMILYMART;5499;TOKYO;JP;6.52;2025-12-23
FOODORA_AT_YRS2-2436-A;5499;WIEN;AT;124.61;2026-02-11
FLYSAFAIR 9G4ZA5-E15;4511;SOUTH AFRICA;ZA;176.98;2026-02-05
WWW.HRCHECK.CO.UK;7299;BARKING;GB;68.49;2026-03-12
ETSY.COM*WILDFEATHERED;5699;DUBLIN 1;IE;145.05;2026-02-06
VENDING MASTER SRL;5046;POPESTI-LEORD;RO;68.69;2026-02-21
AVAST *AVAP2119900354;5817;PRAGUE 4;CZ;116.98;2025-12-24
FOODORA_AT_BLB0-VTL7;5499;WIEN;AT;167.93;2026-02-03
NYX*NESPRESSO;5814;PARIS;FR;172.65;2026-02-02
LIDL 1230;5411;BELLUNO    BL;IT;44.78;2025-10-29
9908.4531.9685 AIB_ECO;7995;VALETTA;MT;177.38;2025-10-14
AMAZON UK* Z15RZ6014;5399;LONDON;GB;157.49;2026-02-19
PAYPAL *HOTMART;7372;4029357733;US;160.78;2026-01-19
CENTRAL PARKING BERGAM;7523;BERGAMO;IT;51.8;2026-02-12
FEVER USA* DRUNK SHAKE;7922;NEW YORK;US;14.96;2025-11-11
TWINE PRO;5734;MANCHESTER;GB;80.92;2025-12-08
GLS D129 DEPÓ;4214;KOMAROM;HU;6.24;2025-11-01
ST. PARADISO A'DAM;7922;AMSTERDAM;NL;103.69;2026-01-31
VITAMIN STATION KFT;5411;TOROKBALINT;HU;110.33;2026-02-15
CRV*LIDL HU 196 SARVAR;5411;RABAPATY;IE;24.25;2025-09-30
FOODORA_AT_WA0R-2533-R;5499;WIEN;AT;57.65;2025-11-27
MEIER-BECK AG;5462;STA. MARIA VA;CH;93.38;2025-11-20
AMAZON UK* ZR70P69W4;5399;LONDON;GB;95.44;2025-11-11
