merchant_description;mcc;city;country
NYX*DIGGIGMBH;5499;WINDHAGEN;DE
DPP - FLORENC;4111;PRAHA 8;CZ
PPL STD HOTEL DE MONTC;7011;SABRAN;FR
FOODORA_AT_TOQR-2541-S;5499;WIEN;AT
FOODORA_AT_CLZF-2528-A;5499;WIEN;AT
MOONPAY*TRUSTWALLETW 9044;6051;MOONPAY.COM;IE
AVANTI VILLAGE;7011;PAPHOS;CY
OTP;4814;TATA;HU
PAYPAL * AIRBNB HMR5WTCAP;7011;35314369001;LU
ALARGA;5813;YMITTOS;GR
634 - FM AER BCN T2 AIRE;5814;AEROPORT DEL;ES
DPB.SK  *9BZXUO;4111;BRATISLAVA;SK
BOLT.EUD2510250950;5812;TALLINN;EE
LE MESTURET;5812;PARIS;FR
HAUENSTEIN AG;5261;RAFZ;CH
PAYPAL *AIRBNB HMEW8QXNQ;7011;4029357733;LU
PLATANISTA;5411;KOS;GR
MEDIAMISTER;7311;RASALKHAIMAH;AE
MOONPAY*PHANTOM 5648;6051;MOONPAY.COM;IE
NEURONAU* TEMPHOLD-4WL;4789;HAWTHORN;AU
GALAMBOS KFT-PINGVIN;5812;KOMAROM;HU
ACS*20287139 THREE;4814;ROTTERDAM;NL
DROGARIA CRISTAL;5912;RIO DE JANEIR;BR
LAWSON;5499;TOKYO;JP
MAO DUMPLING BAR;5812;PARIS;FR
FLOVIPAL;5411;SOMCUTA MAR;RO
B&M 645 - GOLDINGTON;5399;GOLDINGTON;GB
ETSY.COM*DOGBOYZZ;5699;DUBLIN 1;IE
MYTRIP_UK_MMI3II;4722;ONLINE;GB
LIME*AUTH. RPSH;4789;41445051724;CH
LM LLISSA DE MUNT;5200;LLICA D AMUNT;ES
BOOTS,1000;5912;LONDON;GB
BATA A S;5661;CESKY KRUMLOV;CZ
THATS LIFE;5813;MARBELLA;ES
TOOGOODT 749H8FKJH9SM0;5812;TOOGOODTOGO.D;DK
WOW 381D2 ENTERTAI;5815;UNTERFOEHRING;DE
ERNSTING'S FAMILY 0000;5651;BRUNSBUTTEL;DE
RESTAURANT TOT;5812;ZÜRICH;CH
TOMTOM 417250296 LIVE;5531;AMSTERDAM;NL
RESTAURANT ADRETISSIMO;5812;GRAND-LANCY;CH
FCIA GEMMA HERNANDEZ;5912;BARCELONA;ES
ENEOS-SS;5542;TOKYO;JP
UKVI;9399;8FF2C677-29AB;GB
CANVA PAAAAGSUKSYIUWI;7333;17372853388;US
WWW.VESPATAKEAW* VESPA;5499;DUBLIN;IE
DR. MAX;5912;DOMAZLICE;CZ
CBA*CYBERGHOST;5817;KOLN;DE
LIME*VIAJE OWSH;7519;CZECH REPUBLI;CZ
LIME*PAIEMENT ZXDQ;4789;PARIS;FR
BUZZSPROUT* INVOICE 72;7372;19047014405;US
COOP-1838 UNIVERSITAT IET;5311;ZURICH;CH
SIXT 1015082319;3355;PULLACH;DE
HOLLAND & BARRETT;5331;'S-GRAVENHAGE;NL
47TH PARALLEL SRL (NR.;5499;. CHISINAU;MD
TV NOVA 2238983399;4899;PRAHA 5;CZ
TV NOVA 4588099511;4899;PRAHA 5;CZ
AMZNMKTPLACE*J302L7EB5;5999;AMAZON.CO.UK;GB
COURSRA59M55SVZCDVTHZ;8299;6509639884;US
HEMA EV0397;5311;ROTTERDAM;NL
PROTV 8675357793;4899;BUCHAREST;RO
RAPPI PRIME;4215;BOGOTA;CO
SZEPITOGEPEK;8099;BUDAPEST;HU
NYX*HJJOUDSENBV;5499;APELDOORN;NL
UBER   *VONS1702GAR;5812;SAN FRANCISCO;US
AU PAIN DE FRED;5462;CAP D  AIL;FR
FAMILYMART;5499;TOKYO;JP
FOODORA_AT_YRS2-2436-A;5499;WIEN;AT
FLYSAFAIR 9G4ZA5-E15;4511;SOUTH AFRICA;ZA
WWW.HRCHECK.CO.UK;7299;BARKING;GB
ETSY.COM*WILDFEATHERED;5699;DUBLIN 1;IE
VENDING MASTER SRL;5046;POPESTI-LEORD;RO
AVAST *AVAP2119900354;5817;PRAGUE 4;CZ
FOODORA_AT_BLB0-VTL7;5499;WIEN;AT
NYX*NESPRESSO;5814;PARIS;FR
LIDL 1230;5411;BELLUNO    BL;IT
9908.4531.9685 AIB_ECO;7995;VALETTA;MT
AMAZON UK* Z15RZ6014;5399;LONDON;GB
PAYPAL *HOTMART;7372;4029357733;US
CENTRAL PARKING BERGAM;7523;BERGAMO;IT
FEVER USA* DRUNK SHAKE;7922;NEW YORK;US
TWINE PRO;5734;MANCHESTER;GB
GLS D129 DEPÓ;4214;KOMAROM;HU
ST. PARADISO A'DAM;7922;AMSTERDAM;NL
VITAMIN STATION KFT;5411;TOROKBALINT;HU
CRV*LIDL HU 196 SARVAR;5411;RABAPATY;IE
FOODORA_AT_WA0R-2533-R;5499;WIEN;AT
MEIER-BECK AG;5462;STA. MARIA VA;CH
AMAZON UK* ZR70P69W4;5399;LONDON;GB
JET-TANKSTELLE;5541;KOENIGS WUSTE;DE
EVERSPORTS* KADO ACADE;5734;WIEN;AT
MC DONALDS;5814;PARIS;FR
BOLT.EUD2512181936;5812;TALLINN;EE
MCDONALD'S HERNING;5814;HERNING;DK
FLIBCO BRUXELLES;4131;ZAVENTEM;BE
AQUZCRYQRUZX#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR
BUDDHA & FAMILY S.R.O;5812;OLOMOUC 9;CZ
SAS GANI;5411;NICE;FR
SWEET MARKET;5411;AMMAN;JO
4B9B4 ROI BASI;4899;DUBLIN 4;IE
SKYSHOWTIME C00F2 STANDAR;4899;AMSTERDAM;NL
GARTA VENDEGLO;5812;KAPUVAR;HU
SKYSHOWTIME BE0DE STAN;4899;AMSTERDAM;NL
WHYTES;5813;MEATH;IE
DEKUJEME, ROHLIK.CZ;5399;PRAHA 8;CZ
T54ELONCFVI8;4111;TOULOUSE CEDE;FR
AMAZON UK* QS5UK7845;5399;LONDON;GB
GOOGLE DEEZER;4899;LONDON;GB
TV NOVA 8052009592;4899;PRAHA 5;CZ
KAFE KNIZNICA;5813;SKALICA;SK
HB USA HOLDINGS, INC.;5977;CULVER CITY;US
CROSNES DISTRIB;5411;CRETEIL;FR
DEKATLON BALGARIYA EOO;5941;1715, GR. S;BG
O17600782413594189 APP BR;9311;TORINO;IT
AIRPAY 71193867-REGENCY T;4121;WAKEFIELD;GB
3D3E0 ENTS;4899;DUBLIN 4;IE
FOR THE SAINTS;5812;CHELTENHAM;GB
NRN STORE - LARBERT;5411;LARBERT;GB
FISHING ON ORFU;7299;ORFU;HU
HOST EUROPE*26740452;4816;KOELN DE;DE
HOTEL ALTSTADT VIENNA;7011;WIEN;AT
LINKEDINPREB *97933174;5968;LINKEDIN.COM;IE
DIERGAARDE BLIJDORP;7991;ROTTERDAM;NL
TFL TRAVEL CHARGE;4111;TFL.GOV.UK/CP;GB
H&M DE0382;5651;DRESDEN;DE
VIVAAEROBUS;4511;CIUDAD DE MEX;MX
O17410758530952571 APP BR;9311;TORINO;IT
LIME*DODANE SRODKI YCS;4789;WARSZAWA;PL
KONZUM P-0277;5411;ZAGREB;HR
SUBWAY 62877;5814;DENVER;US
EMPORIA SHOPPINGCENTER 1;7523;MALMO;SE
AUTOGRILL FFH AU;5814;L ISLE D ABEA;FR
AUENSTUBE GMBH;5812;BASSERSDORF;CH
SARL PORQUALIMEN;5411;HYERES;FR
HEADOUT.COM ##HASH##;4722;SIENA;DE
P+R VAILLY;7523;GENEVE 26;CH
LIME*FAHRT MTTH;4789;FRANKFURT;DE
BB12471219 - BB IT;7011;MILANO;IT
VIKING - HAFNARSTRAETI;5942;REYKJAVIK;IS
METRO BARCELONA;4111;BARCELONA;ES
STADT WALLISELLEN;9399;WALLISELLEN;CH
DB FERNVERKEHR AG;5812;FRANKFURT;DE
LIME*PAYOFF QKLG;4789;BUCHAREST;RO
LOBBY PLATFORMS, INC;5816;+1919412624;US
AMAZON UK* ZL1OC4WL4;5399;LONDON;GB
PAYPAL *PLAYSTATION;5816;35314369001;DE
PARADOX;5812;AMSTERDAM;NL
LIME*RIDE J2MR;4789;ATHENS;GR
MERCADONA EL CAMISON;5411;PLAYA DE LOS;ES
MUELLER MH HANDELS GMB;5912;BAD HERSFELD;DE
AMAZON UK* ZP1KS33P4;5399;LONDON;GB
1918D ENTERTAI;4899;DUBLIN 4;IE
NEWTAXIPASS;4121;NEW HYDE PARK;US
METROPOLITAN STAR;7011;BRATISLAVA;SK
GRAB* XHEBVHJ7XHTN-G-1;5499;6281384748739;ID
TROTT TROTTER;5200;ANNEMASSE;FR
KAUFLAND CZ  1810;5411;PRAHA 8 KOBYL;CZ
CARREFOUR 0212;5411;TORTONA AL;IT
ACHFP ECOM;3509;DORNBIRN;AT
TRADEIT.GG - 7F99;5815;LEWES;US
DA & PE COM 73 SRL;5411;BUCURESTI;RO
WWW.SERENGETI-PARK.DE;7996;HODENHAGEN;DE
CRV*OTPMOBL*FURGEFUTAR;4111;MIKEPERCS;IE
BÜRGENSTOCK HOTELS AG;7011;OBBÜRGEN;CH
TFL TRAVEL CH;4111;TFL.GOV.UK/CP;GB
DINO OPOLE 1 K.2;5411;OPOLE;PL
CTLP*CANTEEN VENDING;5814;CHARLOTTE;US
CARREFOUR MK OTOPENI 1;5411;OTOPENI;RO
O17682959041629701 APP BR;9311;TORINO;IT
COOP-1993 LAUSANNE;5411;LAUSANNE VD;CH
MOONPAY*METAMASK 6939;6051;MOONPAY.COM;IE
ETOS AMSTERDAM 8466;5122;AMSTERDAM;NL
AMAZON UK* ZE4B22FC4;5399;LONDON;GB
CUKIERNIA JERZYK 73092;5462;GDYNIA;PL
BB13744271 - BB BE;7011;ANTWERP;BE
FOODORA_AT_RY4U-2517-M;5499;WIEN;AT
ROSGARTEN-APOTHEKE PET;5912;T KONSTANZ;DE
FOODORA_AT_KI7B-2540-L;5499;WIEN;AT
COOP-1091 UETENDOR;5411;UETENDORF;CH
BOLT.EUD2505261229;5812;TALLINN;EE
NOW 7EDFA ENTS;5815;LONDON;GB
TOMTOM 417551533 SPEED;5531;AMSTERDAM;NL
JG *ALZHEIMERS SOCIETY;8398;LONDON;GB
SKYSHOWTIME 99EEB STANDAR;4899;AMSTERDAM;NL
NOW 6B370 ENTS;5815;LONDON;GB
32ROSU;7995;2636606703;MT
GOPAY  $PHILIPS-ESHOP.SK;5732;HTTPS://PHILI;SK
WWW.AMAZON.* VM0AJ91O5;5399;LUXEMBOURG;LU
O17636529646320587 APP BR;9311;TORINO;IT
BANGKOK MARRIOTT MARQUIS;3509;BANGKOK;TH
BOLT.EUR2507060004;5812;TALLINN;EE
H18I7DDPDYGI#TISSEO.FR;4111;TOULOUSE CEDE;FR
FREUDENBERG-APOTHEKE;5499;BERN;CH
MEGAIMAGE 0098 CORBEANCA;5411;CORBEANCA;RO
APARTAMENTOS MASARU;7011;PUERTO DE LA;ES
COOP-2452 DOMAT EMS;5311;DOMAT EMS;CH
PRODUCTBOARD, INC.;7372;SAN FRANCISCO;US
TINO SRL;5812;SAN POLO DITV;IT
DELIJN##HASH##;4111;DL ODYJ8BFN;BE
CSK - RU;5733;BUDAPEST;HU
CDS-PATONG;5311;PHUKET;TH
OTPMOBL*CSOKIZZZ.HU;5441;BUDAPEST;HU
GLOBAL VILLAGE PARTNERS;9399;DUBAI;AE
GOPAY  *REEDOG.SK;5995;PRAHA;CZ
DELIJN##HASH##;4111;DL 5QC6JZH2;BE
VASTTRAFIK AB;4111;SKOVDE;SE
BASS PRO STORE GURNEE;5941;GURNEE;US
LIDL 215 AMSTERDAM;5411;AMSTERDAM;NL
LLAGFY8WPK5L#TISSEO.FR;4111;TOULOUSE CEDE;FR
AMAZON UK* K09Z24GJ5;5399;LONDON;GB
THE LIGHTHOUSE;5813;BURNHAM-ON-SE;GB
THE FAT PUG;5813;LEAMINGTON;GB
VOYO.SK 8639054070;4899;BRATISLAVA;SK
L ATELIER CORNU;5462;LA FARLEDE;FR
HYPEDROP;7994;7554260;CY
32RED;7995;2579012650;MT
FOODORA_CZ_SUB-2UML7BDSP4;5499;PRAGUE 8;CZ
ES80388208;4829;MADRID;ES
PRET A MANGER IE001 DAWSO;5814;DUBLIN;IE
GOPAY  *ASTOREO.SK;5399;PARDUBICE;CZ
DECATHLON HRADEC KR;5941;HRADEC KRALOV;CZ
O17407139710561757 APP BR;9311;TORINO;IT
NOW C4A4B SPORTS;5815;LONDON;GB
32RED;7995;2614610070;GB
WWW.AMAZON* 204-533197;5399;14018657948;GB
FOODORA_AT_F1XC-2512-3;5499;WIEN;AT
WILLHABEN 1901155430;5331;VIENNA;AT
TOOGOODT Z1797P9N87XX0;5812;TOOGOODTOGO.B;DK
GRILLFÜRST SCHWEIZ GMB;5719;EBIKON;CH
FOODORA_AT_GKNR-2538-N;5499;WIEN;AT
PLUXEE*AUCHAN 090 LE KREM;5812;LE KREMLIN BI;FR
32ROSU;7995;2666390055;MT
VENDING ZONE SRL;5499;BUCURESTI;RO
CRF MRK 4432;5411;GENOVA;IT
FOODORA_AT_OJXL-2515-R;5499;WIEN;AT
AMAZON UK* ZP4XQ5VY4;5399;LONDON;GB
32RED;7995;2554085018;GB
ETSY.COM*XANDERSTOOLS;5699;DUBLIN 1;IE
AMAZON UK* I35OD2JV5;5399;LONDON;GB
PAY*TREFPUNT FESTIVAL;7999;GENT;BE
MEDINA IKE;5921;THESSALONIKI;GR
AMIGOS CAFE;5993;SARCELLES;FR
FEINKOSTMAERKTE SEHRER;5411;FREIBURG;DE
GOPAY  *DJMOBIL.CZ;4812;HTTPS://DJMOB;CZ
MC DONALDS 00516;5814;EMMERICH AM R;DE
PHCIE DES 5 AVEN;5912;MARSEILLE;FR
LA HAVANNE;5812;NICE;FR
GOPAY  *MINIFIGS.CZ;5945;VELKA BYSTRIC;CZ
TESCO BOSKOVICE;5411;BOSKOVICE;CZ
ABCD;4121;ABU DHABI;AE
AQUA DOME TIROL TAGESK;7011;LAENGENFELD;AT
HOGANS BAR;5813;DUBLIN;IE
LIME*7 RIDES IWUQ;4789;AMSTERDAM;NL
ADY BOGDY PROGRES SRL;5499;PITESTI;RO
GOPAY  *MOBIL-GSM.SK;4812;ZILINA;SK
PAYPAL *WOW 9DBF1 CINE;4899;35314369001;DE
ALBERT HEIJN 1530;5411;S-GRAVENHAGE;NL
BUFETY STOLOWKI;5812;WARSZAWA;PL
GAUL SPORTCATERING;5811;MAINZ;DE
CCV*GHM B EN B B.V.;5462;AMSTERDAM;NL
GOPAY  *MYSKINO.CZ;5977;PRAHA 1;CZ
BANDCAMP FUNKIMAN;5815;BANDCAMP.CO;US
PAYPAL *BOLT.EU R 2412;4789;35314369001;EE
EXXON COOKE CITY EXXON;5542;COOKE CITY;US
GDK CANARY WHARF;5812;LONDON E14;GB
ETSY.COM*EXPRESSIONIST;5699;DUBLIN 1;IE
SM CASINO CS764;5411;MARSEILLE;FR
NOW 8CBF8 ENTS;4899;LONDON;GB
LIME*RIDE HPZ5;4789;WARSZAWA;PL
MCDONALDS;5814;GRANGEMOUTH;GB
MORRISONS DAILY;5499;WARRINGTON;GB
AVIS RENT A CAR CORP;3389;GARDEN CITY;US
GRAB* A-5ED3LMAGWIP9;5812;SOUTH JAKARTA;ID
ANDAZ DUBAI THE PALM;6513;DUBAI;AE
LIME*PRZEJAZD 3QOR;4789;FRANKFURT;DE
AMZN MKTP US*RI2R54UN0;5999;AMZN.COM/BILL;US
ALDI SAGT DANKE;5411;HERFORD;DE
FOODORA_AT_AOHQ-XYTE;5499;WIEN;AT
NYX*MACOMATSRL;5499;BUCURESTI;RO
GOPAY  *KEENFOOTWEAR.C;5661;PRAHA 5;CZ
REWE OLIVER KNAPP;5411;SCHWALMSTADT;DE
TOOGOODT Z9YZ5TE2YYKR0;5812;TOOGOODTOGO.N;DK
FRESSNAPF 3562 FOGARAS;5995;BUDAPEST;HU
URBAN FOODS LLC  BURJ VIS;5411;DUBAI;AE
WOW 3BABD PREMIUM;5815;UNTERFOEHRING;DE
HORNBACH BAUMARKT AG F;5200;CHEMNITZ;DE
BOLT.EU/O/2410031010;4121;TALLINN;EE
KRUIDVAT 1104;5331;AMERSFOORT;NL
FOOD'S ROCK S.R.L.;5814;FORLI';IT
ROAD BT. - KORZO A;5651;SZEKSZARD;HU
SCHWEIZERHAUS GP TOM;5812;WIEN;AT
GARNER HOTEL MAASTRICH;7011;MAASTRICHT;NL
BARIONP*M-MATCHA;5499;BUDAPEST;HU
LIME*RIDE;7519;CZECH REPUBLI;CZ
REVOLUT**4162*;4829;ZURICH;CH
DELIJN##HASH##;4111;DL 1BYXJDDC;BE
BURGER KING 28071 SOT;5814;LANGENHAGEN;DE
ALINA PURCARU;6012;REVOLUT.COM;LT
TSUNAMI BEACH BARS;5813;SOUTHAMPTON;GB
REST. DE LA COURONNE;5812;MONTREUX;CH
AUDIBLE.DE*MA9NG2224;5968;AUDIBLE.DE/RG;DE
SKYSHOWTIME AE97E SHOW;4899;AMSTERDAM;NL
EXKI ZONE INTERNATIONALE;5812;ORLY AEROGARE;FR
A.S. VILA CONDE (N/S;5542;KM327.600 - M;PT
KFC TRUTNOV DT;5814;TRUTNOV;CZ
AVM IEQZLUQCLXJUHV9;4111;VENEZIA;IT
SKLEPZNAGAR.PL;5085;WARSZAWA;PL
PV1209;5542;MEDIGLIA;IT
SQ *TASTY BEAN CAFE;5812;WATFORD;GB
LEDDISZKONT.HU;5251;BUDAPEST;HU
T K MAXX;5331;HARROW;GB
DEICHMANN SOLINGEN 155;5661;SOLINGEN;DE
#260 SPORT CHEK;5941;CALGARY;CA
SIMMER EATS;8999;4475319436;GB
PHARMACIE DES TONGRES;5912;ETTERBEEK;BE
FOODORA_AT_QN5W-WOW8;5499;WIEN;AT
HERLITSCHKA;5812;WIEN;AU
MOONPAY*ROOBET 2230;7995;MOONPAY.COM;IE
LIDL 3549;5411;ROMA       RM;IT
X-CLASS MOLETT DIVAT;5651;GYĘR;HU
JUN YAN EURO;5651;SANDORFALVA;HU
CMSVEND*CV AVENEL;5814;AVENEL;US
LIME*PAIEMENT YM7H;4789;PARIS;FR
GLS D26 NOVE STRASEC;4215;NOVE STRASECI;CZ
MAISON-MIGNARDISE LIVRAI;5462;MARRAKECH;MA
SHELL 9806;5541;BUETTELBORN;DE
STABIL FEDEL LEMEZKERES;5211;DEBRECEN;HU
LARAVEL FO* TRIAL OVER;5734;18772712521;US
VIPPS*GAUTE TORSNES FO;4829;OSLO;NO
PAYPAL *AIRBNB  HMND489;7011;35314369001;LU
TDAS XCARET;7996;SOLIDARIDAD Q;MX
9XTN1NJDQEEX#TISSEO.FR#VC;4111;TOULOUSE CEDE;FR
REEL ENTERTAINMENT LLC;7929;DUBAI;AE
CRV * SPAR FIL STAM;5499;CURVE.COM;IE
55-10944-012248924 WWW.IN;5734;ROMA;IT
UAGLIO'-V.TORRIBIANCH.;5812;VIMERCATE;IT
PAYPAL *GOOGLE FACEAPP;5815;35314369001;IE
LIME*RIDE GHXM;4789;PARIS;FR
POSTHOTEL DONAUSTAUF;7011;DONAUSTAUF;DE
HOTEL DESTINO;7011;CAP MARTINET;ES
APPLAOR;4829;SMOLA;GB
PAYPAL *KAERCHER AG;5722;0049719514;CH
MCDONALDS 00975;5814;WALDBR?L;DE
NFCTRON;5812;PRAHA 1 NOVE;CZ
FFB5A ENTERTAI;5815;DUBLIN 4;IE
EUROPCAR;7512;BENITO JUAREZ;MX
LIME*RIDE WYXW;4789;ATHENS;GR
FOODORA_AT_TO3I-2515-L;5499;WIEN;AT
SHELLD2SMERBRNO;5541;LADNA;CZ
PERK/ID 35600812;4722;BARCELONA;ES
DELIJN##HASH##;4111;DL CCLVHT46;BE
HÁDA HASZNÁLTRUHA Ü;5691;SOPRON;HU
WILLHABEN 1899644524;5331;VIENNA;AT
MONMOUTHSHIRE COUNTY C;7523;MONMOUTHSHIRE;GB
COFF.EE* DEYOCLUB;5815;BUYMEACOFFEE.;US
HYPEDROP;7994;#6529170;CY
TV NOVA 8042097554;4899;PRAHA 5;CZ
FOODORA_AT_TQBK-2524-A;5499;WIEN;AT
PLODINE SUPERMARKET, 2;5411;SLATINA;HR
GPV BENAHAVIS;5541;ESTEPONA;ES
GOPAY  *TVRZENASKLA.EU;4812;PIST;CZ
GRAUR ANA-RALUCA FIZIO;8099;BRASOV;RO
GOPAY  *FLEUROP.CZ;5992;HTTPS://FLEUR;CZ
ORDER O-Y4QQ7OO;5816;VILNIUS;LT
BAYWA VORARLBERG;5200;RANKWEIL;AT
BOLT.EUD2506020950;5812;TALLINN;EE
BILLA DANKT 0002001;5411;DEUTSCH-WAGRA;AT
EATTASTY.ES;5812;MADRID;ES
GOPAY * O2;4814;DOBIJENI.O2.C;CZ
AMAZON UK* SW30E2R85;5399;LONDON;GB
BG HOSPITALITY LLC;5814;DUBAI;AE
DELIJN##HASH##;4111;DL DW8VY3K8;BE
GOPAY  *SWIXSHOP.CZ;5941;PRAHA 22;CZ
GUMROAD* TYLER.L;5192;BROOKLYN;US
LBS SA* CLUBS/LBSSA/TA;8398;LONDON;GB
ZEEZICHT;5812;DEN HAAG;NL
TV NOVA 5948643826;4899;PRAHA 5;CZ
WWW.PLANITY.COM;7298;PARIS;FR
ALDI 99801 RECEIPT NO.;5411;ATHERSTONE;GB
FEDEX73635940;4215;T08456 070809;GB
O17436713384618297 APP BR;9311;TORINO;IT
GOEDERT AUTOCENTER;5533;BERELDANGE;LU
FOODORA_AT_A3V5-2525-0;5499;WIEN;AT
RAPPI* VERIF $0.85 USD;4215;AMSTELVEEN;NL
MONO*OLHA LYKHACHOVA;4829;KYIV;UA
LIME*RIDE HWEQ;7519;BULGARIA;BG
TCL 69 LYO;4111;V25309006631�;FR
87058910 ZINZINO;5499;VAESTRA FROEL;SE
TZP*ITEMKU.COM;7399;PT;SG
TABERNA CHICA FARRAY;5812;LAS PALMAS DE;ES
022 LANDQUART;5977;LANDQUART  GR;CH
PAYPAL *POSHMARK;5931;4029357733;US
AUTOBEDARF SCHRATTENEC;5533;MATTIGHOFEN;AT
LIGHTHOUSE SUPERMARKET;5411;GHASRI (GOZO);MT
CF048 BOOST;5815;DUBLIN 4;IE
ASDA SUPERSTORE;5411;CHATHAM;GB
DISPOLAB PHARMA S.R.O.;5912;BRNO;CZ
TEDI;5251;TREGUEUX;FR
DONERISTA;5812;WIEN;AT
5YHSJV4GS3ZZ;7523;ENFIELD;GB
TV NOVA 4698960505;4899;PRAHA 5;CZ
BOLT.EUD2506261001;5812;TALLINN;EE
LIME*JIZDA QNEC;7519;CZECH REPUBLI;CZ
400198 CAFE LA COTE JURA;5812;BURSINS;CH
LA METROPOLE MOB;4111;GVGMWGH8WY1T�;FR
STRADIVARIUS JERVIS CENTR;5621;DUBLIN 1;IE
DPB.SK  *9BFBIH;4111;BRATISLAVA;SK
ZETTLE_*UNIVERSITY OF;5812;GUILDFORD;GB
WWW.ROSEMONT.SK;5977;WWW.ROSEMONT.;SK
BOSTY COM SRL;5411;IASI;RO
PIZZERIA LAPO DI FOBOR;5813;CECINA;IT
GOOGLE *PLAY;5942;G.CO/HELPPAY#;GB
LIME*PASS QW3N;7519;CZECH REPUBLI;CZ
TIERPARK ESSEHOF GMBH;7998;LEHRTE;DE
FOODORA_AT_YWSR-EYG1;5499;WIEN;AT
NYX*VENDINGWORK;5814;ALMERE;NL
JAROSLAVA NAHODILOVA;5411;BOROVA LADA;CZ
SKYSHOWTIME 44D15 SHOWTIM;4899;AMSTERDAM;NL
RESTAURANTE VARADERO;5812;MARBELLA;ES
BILLA DANKT 0007609;5411;FELDKIRCHEN;AT
AMAZON UK* CW41I2XH5;5399;LONDON;GB
RAILNATI-7OQA0UTV;5816;MUNICH;DE
LA CASA ROJA LAS CANTE;5812;LAS PALMAS DE;ES
MAAG MUSIC & ARTS AG;5812;ZÜRICH;CH
30C73 ULTRA BO;4899;DUBLIN 4;IE
DELIJN##HASH##;4111;DL G723L2B4;BE
LIDL SAGT DANKE;5411;BABENHAUSEN;DE
COOP-1376 ETTINGEN;5311;ETTINGEN;CH
NYX*VERYGOODIESAS;5814;PRAHA;CZ
32RED;7995;2514661761;GB
PAYPAL * AIRBNB HMRD8SYKH;7011;35314369001;LU
ETSY.COM - VILLASORGENFRE;5699;DUBLIN;IE
BANDCAMPH-PRODUCTIONS;5735;BANDCAMPCOM;US
FOODORA_AT_HVVR-2439-3;5499;WIEN;AT
WWW.VAPOHOLIC.CO.UK;5993;WWW.VAPOHOLIC;GB
MRCR*ADRIAN*KOSCIK;6051;VISA DIRECT;HR
NEURONAU* TRIP-FX;4789;HAWTHORN;AU
4338.3079.0809 AIB_ECO;7995;VALETTA;MT
VF0NCF1IFKHG#TISSEO.FR;4111;TOULOUSE CEDE;FR
PAYPAL *AIRBNB  HM8P4Z2;7011;35314369001;LU
SKYSHOWTIME 4418B STANDAR;4899;AMSTERDAM;NL
TCL 69 LYO;4111;V25172000007�;FR
ALBERTOS LOUNGE;5812;SURRY HILLS;AU
TAKSIDE POS;4121;ISTANBUL;TR
M6NNPZPJHHD3;4111;TOULOUSE CEDE;FR
TOOGOODT 1FD7EMJ86DFB0;5812;COPENHAGEN;DK
TV NOVA 2698668565;4899;PRAHA 5;CZ
TV NOVA 8687646311;4899;PRAHA 5;CZ
VIERTEL GASTRO GMBH;5813;BASEL;CH
LIME*TRAJET OWS6;4789;PARIS;FR
IPACS-ICE KFT.;5462;TAPIOSZECSO;HU
RISE LLC;5811;DUBAI;AE
LUKOIL-BULGARIA EOOD;5541;SOFIYA;BG
MOONPAY*TRUSTWALLET 1411;6051;MOONPAY.COM;IE
LIME*RIDE XFAC;7519;CZECH REPUBLI;CZ
RAYDAN RESTAURANT;5812;MANCHESTER;GB
BIOFLIX;5411;BASEL BS;CH
GOPAY  *VIA-NABYTEK.CZ;5712;HTTPS://VIA-N;CZ
AMWAJ SUITES HOTEL APARTM;6513;DUBAI;AE
NOW X6594 HAYU MON;5815;LONDON;GB
GOPAY  *MAXIKOVY-HRACKY;5945;MAXIKOVY-HRAC;CZ
FOODORA_AT_L40V-2529-I;5499;WIEN;AT
GOPAY $SANASPORT.CZ;5499;HTTPS://SANAS;CZ
SUMUP  *NAGY ANDREA EV;5411;BUDAPEST;HU
FOODORA_AT_DJT4-WAH8;5499;WIEN;AT
MEGAIMAGE 0788 ALEXANDRU;5411;BACAU;RO
SAVIOMAR WASH SRL;7542;COROD;RO
LIDL SAGT DANKE;5411;MUENCHEN;DE
TESCO TRINEC;5411;TRINEC;CZ
TIGER STORES;5251;W23HV05;IE
OASIS FUN;7996;BOURNEMOUTH;GB
RESTAURANT DOLCE VITA;5812;CONSTANTA;RO
ACS*22274787 THREE;4814;ROTTERDAM;NL
BERSHKA OXFORD STREET;5691;LONDON;GB
BOLT.EUD2509171700;5812;TALLINN;EE
PAYPAL *AIRBNB HMA3QJ98QM;7011;4029357733;GB
FOODORA_AT_EZPP-2527-B;5499;WIEN;AT
2C2P*PALEOROBBIE.COM;5411;BANGKOK;TH
LIDL RO-874;5411;OTELU ROSU;RO
FESTIVAL DE LA CITE;5812;LAUSANNE;CH
LIDL SAGT DANKE;5411;DUEREN;DE
MARKS&SPENCER PLC;5411;COLCHESTER;GB
7177 NESTE LAPUA;5541;LAPUA;FI
SUPERPROF* MATT LESSON;7333;PARIS - FRANC;FR
PLODINE SUPERMARKET, 2;5411;SPLIT;HR
THE DASHWOOD ROADHOUSE;5812;HIGH WYCOMBE;GB
MOONPAY*JUPITER 8607;6051;MOONPAY.COM;IE
LIME*RIDE 73FI;7519;CZECH REPUBLI;CZ
MCDONALDS;5812;PRAHA 2;CZ
MYTRIP_UK_MLSMSL;4722;ONLINE;GB
WINGERS  7TH CIRCLE;5814;AMMAN;JO
PHOTOMATON;7221;ECHIROLLES;FR
