merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
7LHJVSV9KVIK,,7523,HOVE,GB,27.22,27/11/2025,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
GRANJA SAN MIGUEL,granja san miguel,7011,SALEM,ES,178.54,11/3/2026,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
BILLA,billa,5411,SALZBURG SA,AT,154.01,3/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
HOT-EP KFT.,hot kft,7011,SUMEG,HU,100.26,16/11/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
DREVO TRUST VYSOKE M.,drevo trust vysoke,5211,VYSOKE MYTO,CZ,126.41,28/12/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Lumber & Building Materials,0.0,rule_based,,no
AMAZON UK* ZR0R223D4,amazon,5399,LONDON,GB,47.92,22/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
LE CERF,cerf,5812,VINCENNES,FR,169.37,1/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
BAKKERIJ GIELIS,bakkerij gielis,5462,ZICHEM,BE,58.85,8/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
CADU,cadu,5812,MUNCHEN,DE,15.69,27/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PARKING ESTACIONES 2,parking estaciones,7523,DONOSTIA-SAN,ES,70.3,22/3/2026,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
LIME*FAHRT BE4O,lime fahrt,4789,WIEN,AT,47.04,13/3/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
DELIJN##HASH##,delijn hash,4111,DL 91YEFUBF,BE,102.49,16/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
VIPPS*LARS TORGEIRSSON,vipps lars torgeirsson,4829,OSLO,NO,138.95,1/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
WWW.AMAZON.* UF4H88NU5,amazon,5399,LUXEMBOURG,LU,128.12,4/10/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
FOODORA_AT_LNNT-GGGF,foodora lnnt gggf,5499,WIEN,AT,62.65,30/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
LIME*RIDE Z6VS,lime ride,7519,BULGARIA,BG,123.87,23/2/2026,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
MOONPAY*EXODUS 3136,moonpay exodus,6051,MOONPAY.COM,IE,182.36,10/11/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
AUDIBLE.DE*MH4FK2IL4,audible,5968,AUDIBLE.DE/RG,DE,19.95,9/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
TOOGOODT EWMZMK0NYMJ40,toogoodt,5812,TOOGOODTOGO.C,DK,28.89,23/3/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
DB VERTRIEB,vertrieb,4112,4.63517E+11,DE,181.25,17/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Passenger Railways,0.95,rule_based,mcc_rule,no
COOP PRONTO 3513,coop pronto,5411,BASEL      BS,CH,69.91,14/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL 898GF5E6,BE,33.16,9/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
TPG TRANSPORTS PUBLICS AG,tpg transports publics,4789,GRAND-LANCY,CH,42.46,10/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
KAUFLAND RO 7370,kaufland,5411,CREVEDIA,RO,176.27,3/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
PAYPAL *SPOTIFY*P3C04D9,paypal spotify,5815,35314369001,SE,155.95,29/11/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
LA METROPOLE MOB,metropole mob,4111,89264UI5G2U3�,FR,112.98,20/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
MOONPAY*RBGAMINGNV 6294,moonpay rbgamingnv,7995,MOONPAY.COM,IE,187.78,14/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
NVN* TRP FEE R38OF3,nvn trp fee,4722,PALO ALTO,US,158.81,8/2/2026,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
CAFE CO HU 112284,cafe,5499,VERESEGYHA,HU,110.81,1/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
NIVI SPA,nivi spa,9222,FIRENZE,IT,44.06,25/1/2026,government and taxes,"Taxes, fines, government services",government services,"Court costs, fines, public services",Fines,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25275026678�,FR,36.67,2/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL TCMJPQ4D,BE,168.71,18/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
THE VILLAGE INN BAR AND R,the village inn bar and,5812,LOUGHREA,IE,119.56,27/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
EDEKA OBERLE,edeka oberle,5411,WILLSTAETT,DE,170.83,1/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
PAYPAL *GOOGLE GOOGLE,paypal google,5815,35314369001,GB,98.99,24/2/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
GOPAY *MEDOVINARNA.CZ,gopay medovinarna,5921,HTTPS://ESHOP,CZ,67.69,4/12/2025,bars & alcohol,Liquor stores,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Liquor Stores,0.95,rule_based,mcc_rule,no
VONS #1753,vons,5411,BISHOP,US,9.29,4/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
AELIA DUTY FREE,aelia duty free,5309,FIUMICINO,IT,91.95,12/2/2026,,,wholesale,"Durable goods wholesalers, industrial equipment",,0.0,rule_based,,no
WAL*MAISON AFFAIRS AG,wal maison affairs,5812,BERN,CH,139.09,23/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
WW DIGITAL,digital,5968,1802509509,DE,41.1,29/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
ONEKEY LIMITED,onekey limited,5999,30012A,HK,130.77,16/12/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,,no
PUBLIX #1774 000001774,publix,5411,STUART,US,121.98,29/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
WOW 7C4D0 CINEMA M,wow cinema,4899,UNTERFOEHRING,DE,189.99,7/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
FOODORA_AT_TCT3-2521-Q,foodora,5499,WIEN,AT,95.37,4/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
INSTAGRAM.COM,instagram,7997,NEWTOWNABBEY,GB,95.05,22/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Membership Clubs,0.95,rule_based,mcc_rule,no
RAINBOW VAPES CORNER,rainbow vapes corner,5993,L LONDON,GB,30.15,20/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
AMAZON UK* ZA3AE31Y5,amazon,5399,LONDON,GB,157.99,31/1/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
JIMDO INV03637659,jimdo,5734,HAMBURG BAHRE,DE,49.56,8/10/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
DIP *FARIDSACHAK,dip faridsachak,4829,VILNIUS,LT,82.95,2/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
O BRIENS,briens,5812,SWORDS,IE,126.08,24/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
AMAZON UK* Z39581UU4,amazon,5399,LONDON,GB,99.44,21/10/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
83196834 ZINZINO,zinzino,5499,VAESTRA FROEL,SE,90.28,14/12/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
TARGET        00010421,target,5411,ELLICOTT CITY,US,148.77,20/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*PASS BZ2S,lime pass,4789,PARIS,FR,71.9,22/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
PUXEIROS -GONDOMAR  12:53,puxeiros gondomar,4784,A CORU#A,ES,65.61,15/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
MFIINVEST/1WIN.PRO,mfiinvest pro,7995,NICOSIA,CY,34.88,24/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
A081B ROI BASI,roi basi,4899,DUBLIN 4,IE,198.46,30/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
BURGER KING,burger king,5814,KOLIN - KOLIN,CZ,62.39,9/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Fast Food Restaurants,0.95,rule_based,mcc_rule,no
SHELL OIL 10008058009,shell oil,5541,MORENO VALLEY,US,7.2,30/10/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
ACME CANGGU,acme canggu,5812,BADUNG (KAB),ID,180.61,5/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
VQ79RXNTF2R3,,4111,ST BARTHELEMY,FR,56.32,23/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL LIPZD9WB,BE,22.43,15/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
PAYPAL *SPOTIFY*P38398,paypal spotify,5815,35314369001,SE,71.76,28/11/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
TRADEIT.GG - X297,tradeit,7993,14153496875,US,49.45,6/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
BOULEVARDEN APS,boulevarden aps,5813,AARHUS C,DK,35.38,11/3/2026,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
2601310247FERTAGUS,,4111,ALMADA,PT,60.7,5/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
TISAK P-0200,tisak,5994,ZAGREB,HR,193.62,25/12/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
MONZO * ME ZITA IKERION,monzo zita ikerion,6012,LONDON,GB,95.82,22/3/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Financial Institutions,0.95,rule_based,mcc_rule,no
SELECTA 750,selecta,5411,BOOM,BE,166.72,18/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LIME*PASS 6EKY,lime pass,4789,WARSZAWA,PL,46.94,24/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
RESTAURACE FARM TABLE,restaurace farm table,5812,KLECANY,CZ,116.43,15/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
GOPAY  *SALONONLINE.CZ,gopay salononline,5977,PRAHA 8,CZ,52.38,6/1/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Cosmetic Stores,0.0,rule_based,,no
PROFI 21133 LUGOJ,profi lugoj,5411,LUGOJ,RO,88.35,21/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
MOONPAY*EXODUS 1919,moonpay exodus,6051,MOONPAY.COM,IE,41.33,26/12/2025,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
MOONPAY*TRUSTWALLET 2923,moonpay trustwallet,6051,MOONPAY.COM,IE,162.14,10/1/2026,financial services,"ATM withdrawals, financial institutions",financial,"Banks, ATM withdrawals, quasi-cash transactions",Cryptocurrency / Foreign Currency,0.95,rule_based,mcc_rule,no
HENRY SHOP PIER WEST,henry pier west,5812,SCHWECHAT,AT,89.75,8/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PENNY PRUBEZNA 2551,penny prubezna,5411,CESKE BUDEJOV,CZ,13.97,13/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
LEKARNA U MAGISTRA,lekarna magistra,5912,PRAHA 10,CZ,111.29,4/10/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
IF COW IKEA 492 WUPPERTAL,cow ikea wuppertal,5712,WUPPERTAL,DE,105.99,18/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Furniture Stores,0.95,rule_based,mcc_rule,no
LIME*PRZEJAZD OXF2,lime przejazd,4789,ABU DHABI,AE,196.73,10/12/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
GOPAY  *MAGU.CO,gopay magu,5499,HTTPS://MAGU.,CZ,158.14,25/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
TV NOVA 4289727050,nova,4899,PRAHA 5,CZ,19.89,10/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL LM6LGUB5,BE,82.54,22/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
FITNESS4LESS.CO.UK,,7298,WOKINGHAM,GB,159.71,19/11/2025,beauty & personal care,Personal care services and spas,personal services,"Hotels, laundry, beauty services, personal care",,0.95,rule_based,mcc_rule,no
32RED,,7995,2619869367,GB,33.63,1/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
X7778 ENTS,ents,4899,DUBLIN 4,IE,185.86,21/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
81C18D120250411,,4900,ARNHEM,NL,195.05,2/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities","Utilities (Electric, Gas, Water)",0.95,rule_based,mcc_rule,no
KLM07424570780430,,3010,AMSTELVEEN,NL,95.47,2/2/2026,travel & airlines,Airlines,airlines,Individual airline merchant codes,Scandinavian Airlines,0.95,rule_based,mcc_rule,no
TRANSFERGO*SVITLANA*YATSY,transfergo svitlana yatsy,4829,VISA DIRECT,LT,136.16,23/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
AXS TICKETS RESALE,axs tickets resale,7922,LONDON,GB,171.74,15/10/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Theatrical Producers,0.95,rule_based,mcc_rule,no
BOLT.EU/O/2409151343,bolt,4121,TALLINN,EE,70.11,13/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
FRESSNAPF HANDELS GMB,fressnapf handels gmb,5995,WIEN,AT,52.32,2/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
MYAIRBRIDGE,myairbridge,5734,PRAHA,CZ,9.98,31/1/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
"MOL NYRT. KISKER.,6016",mol nyrt kisker,5541,BUDAPEST,HU,18.39,13/1/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
LIME*RIDE RF24,lime ride,4789,HELLERUP,DK,15.05,29/11/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
PAYPAL *SPOTIFY*P3921C0F5,paypal spotify,5815,35314369001,SE,129.75,2/2/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
AMZN MKTP IT*WQ2SE9OA5,amzn mktp,5999,AMAZON.IT,LU,61.65,10/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Miscellaneous Retail Stores,0.0,rule_based,,no
CLOUDSTORAGE,cloudstorage,4816,ADMIRALTY,HK,55.18,18/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Computer Network Services,0.95,rule_based,mcc_rule,no
CS.RESPONTIKA,respontika,7996,WILMINGTON,US,73.42,23/3/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
PORSCHE,porsche,5511,MISTELBACH,AT,143.34,27/1/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",,0.95,rule_based,mcc_rule,no
FAMILY MART,family mart,5499,*,JP,15.17,15/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
AMAZON UK* 7V3U41FI5,amazon,5399,LONDON,GB,8.53,17/11/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
CVS/PHARMACY #08340,cvs pharmacy,5912,LUBBOCK,US,71.15,11/10/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
EVERYMAN MEDIA GROUP C,everyman media group,7832,CHELMSFORD,GB,69.69,21/12/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25203007992�,FR,147.85,6/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
LIME*2 RIDES O7RD,lime rides,4789,BUCHAREST,RO,157.36,23/2/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
BANJE BEACH,banje beach,5813,DUBROVNIK,HR,125.07,18/11/2025,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
SIBIU 5 SURII MARI,sibiu surii mari,5541,SIBIU,RO,178.9,21/11/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
DERTOUR,dertour,4722,1.7511E+12,DE,129.15,6/3/2026,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
2853.2523.3125 AIB_ECO,aib eco,7995,VALETTA,MT,138.57,23/10/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
0A6R200000CZHV9IAH WWW.IN,,7372,ROMA,IT,101.26,22/1/2026,,,business services,"Advertising, consulting, IT services",,0.0,rule_based,,no
RESTAURACE U SV. STEPA,restaurace stepa,5812,LITOMERICE,CZ,24.36,13/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
TOOGOODT 0AR6SJAS5R8F0,toogoodt,5812,TOOGOODTOGO.D,DK,134.09,16/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
AN REALT,realt,5813,CARRAROE,IE,88.3,17/2/2026,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
ORDER O-Y3BMZWO,,5816,VILNIUS,LT,47.99,7/3/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
8-BAR,bar,5812,BASEL,CH,121.05,6/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
IFU ARENA,ifu arena,5812,UPPSALA,SE,102.36,15/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SUPERDRUG STORES PLC,superdrug stores plc,5912,BRUNSWICK,GB,71.21,8/11/2025,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
"MAXIMA LT, X-482",maxima,5311,KAUNAS,LT,29.49,29/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
NOW 0647C ENTERTAI,now entertai,5815,LONDON,GB,7.97,6/3/2026,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
FOODORA_AT_QWVD-2518-A,foodora qwvd,5499,WIEN,AT,31.99,20/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
NOW D7D63 SPORTS,now sports,5815,LONDON,GB,37.24,29/10/2025,shopping,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,yes
TCL 69 LYO,tcl lyo,4111,V25200006613�,FR,78.35,24/10/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
GOOGLE *CALIFORNIA,google california,5816,G.CO/HELPPAY#,US,130.77,28/2/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
ACQUARENA BX BRESSANONE,acquarena bressanone,7832,BRIXEN,IT,21.7,9/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Movie Theaters,0.95,rule_based,mcc_rule,no
